nodeID,xcoord,ycoord,floor,building,nodeType,longName,shortName,teamAssigned
GELEV00Q03,1628,2142,3,Shapiro,ELEV,Elevator Q 3,Elevator Q Floor 3,A
GELEV00Q02,1628,2102,2,Shapiro,ELEV,Elevator Q 2,Elevator Q Floor 2,A
PHALL00102,4300,630,2,45 Francis,HALL,Kiosk,HALL,A
FSERV00501,1645,1280,1,Tower,SERV,75 Lobby Valet Cashier,Valet Cashier,A
EHALL03101,2790,1460,1,45 Francis,HALL,Hallway Node 29 Floor 1,HallE29,A
DHALL00902,4635,680,2,15 Francis,HALL,Hallway 9 Floor 2,Hallway D0902,A
DRETL00102,4270,480,2,15 Francis,RETL,Pats Place,Pats Place,A
WELEV00E02,3235,880,2,45 Francis,ELEV,Elevator E 2,Elevator E2,A
CHALL003L2,2215,904,L2,45 Francis,HALL,Hallway 3 Floor L2,Hallway C003L2,A
FHALL03301,2066,1282,1,Tower,HALL,Emergency Hallway,Hallway F03301,A
FHALL01001,1627,802,1,Tower,HALL,Tower Hallway 3,Hallway F01001,A
CHALL003L1,2445,1284,L1,45 Francis,HALL,Hallway 3 Floor L1,Hallway C003L1,A
GHALL011L2,1550,1966,L2,Shapiro,HALL,Hallway MapNode 11 Floor L2,Hall,A
AHALL0100G,1600,2853,G,BTM,HALL,Hall 31,Hall,A
GHALL00202,1168,1820,2,Shapiro,HALL,Hall Node 2 Floor 2,Hall,A
BHALL02502,3163,945,2,45 Francis,HALL,Hallway Intersection 25 Level 2,Hallway B2502,A
GHALL00203,1580,2230,3,Shapiro,HALL,Hallway Node 2 Floor 3,Hall,A
CCONF001L1,2255,849,L1,45 Francis,CONF,Anesthesia Conference Room,Conf C001L1,A
WELEV00E01,3265,830,1,45 Francis,ELEV,Elevator E 1,Elevator E1,A
GHALL00201,1722,1832,1,Shapiro,HALL,Hallway MapNode 2 Floor 1,Hall,A
XHALL16102,3830,1991,2,FLEX,HALL,FLEX Entry Hall 1,FLEX Entry Hall,A
IREST00503,2277,995,3,45 Francis,REST,Restroom 27,R5,A
HHALL00702,1740,1165,2,Tower,HALL,Hallway Connector 7,Hallway H00702,A
CLABS003L1,2290,1284,L1,45 Francis,LABS,Nuclear Medicine,Lab C003L1,A
HHALL00703,1735,900,3,Tower,HALL,Hallway Connector 7 2,Hallway H00703,A
GHALL03602,1580,2208,2,Shapiro,HALL,Hall Node 36 Floor 2,Hall,A
EDEPT00201,3100,890,1,45 Francis,DEPT,Wound and Ambulatory Department,WCCAT 1,A
ESTAI00401,2605,1340,1,45 Francis,STAI,Staircase H2 Floor 1,Stair H2,A
BHALL00102,2238,902,2,45 Francis,HALL,Hallway Intersection 1 Level 2,Hallway B0102,A
EHALL02001,2950,745,1,45 Francis,HALL,Hallway Node 18 Floor 1,HallE18,A
DHALL01902,4340,625,2,15 Francis,HALL,Hallway 19 Floor 2,Hallway D1902,A
WHALL00702,1740,1500,2,Tower,HALL,Hallway Connector 7 Floor 2,Hallway W0702,A
CHALL015L1,2300,849,L1,45 Francis,HALL,Hallway 15 Floor L1,Hallway C015L1,A
FHALL02301,1845,1280,1,Tower,HALL,Lobby Hallway 1,Hallway F02301,A
BHALL01202,2945,902,2,45 Francis,HALL,Hallway Intersection 12 Level 2,Hallway B1202,A
BHALL03502,2246,1028,2,45 Francis,HALL,Hallway Intersection 35 Level 2,Hallway B3502,A
IHALL00803,2772,1147,3,45 Francis,HALL,Hallway Node 8,H8,A
GHALL01303,1580,2006,3,Shapiro,HALL,Hallway Node 13 Floor 3,Hall,A
GHALL01302,1450,1781,2,Shapiro,HALL,Hall Node 13 Floor 2,Hall,A
DINFO00102,4210,630,2,15 Francis,INFO,15 Francis Security Desk,Information Desk,A
DSTAI00302,4250,440,2,15 Francis,STAI,Staircase3 Floor2,Staircase3,A
CCONF002L1,2665,1043,L1,45 Francis,CONF,Medical Records Conference Room,Conf C002L1,A
FSERV00401,1721,970,1,Tower,DEPT,Spiritual Care Office,SCO,A
EHALL03201,2670,1380,1,45 Francis,HALL,Hallway Node 30 Floor 1,HallE30,A
DDEPT00102,4330,700,2,15 Francis,DEPT,Chest Diseases,Chest Diseases,A
DHALL00802,4660,770,2,15 Francis,HALL,Hallway 8 Floor 2,Hallway D0802,A
WELEV00F01,3050,980,1,45 Francis,ELEV,Elevator F 1,Elevator F1,A
IDEPT00103,2323,1328,3,45 Francis,DEPT,Center for Infertility and Reproductive Surgery,D1,A
WELEV00F02,3075,960,2,45 Francis,ELEV,Elevator F 2,Elevator F2,A
CHALL004L1,2770,1070,L1,45 Francis,HALL,Hallway 4 Floor L1,Hallway C004L1,A
CHALL004L2,2130,904,L2,45 Francis,HALL,Hallway 4 Floor L2,Hallway C004L2,A
FHALL01101,1627,930,1,Tower,HALL,Tower Hallway 4,Hallway F01101,A
GHALL010L2,1550,2031,L2,Shapiro,HALL,Hallway MapNode 10 Floor L2,Hall,A
GHALL00103,1562,2230,3,Shapiro,HALL,Hallway Node 1 Floor 3,Hall,A
AHALL0110G,1550,2853,G,BTM,HALL,Hall 32,Hall,A
GHALL02401,1602,1928,1,Shapiro,HALL,Hallway MapNode 24 Floor 1,Hall,A
XHALL16002,3871,1573,2,45 Francis,HALL,45 sidewalk 4,45 sidewalk,A
GHALL00102,1170,1780,2,Shapiro,HALL,Hall Node 1 Floor 2,Hall,A
HSTAI00102,2060,880,2,Tower,STAI,Stairwell 1,Stairwell 0102,A
HSTAI00103,1680,1275,3,Tower,STAI,Stairwell 1 2,Stairwell,A
XHALL16402,3338,1166,2,45 Francis,HALL,45 sidewalk 5,45 sidewalk,A
HHALL00802,1740,1230,2,Tower,HALL,Hallway Connector 8,Hallway H00802,A
HHALL00803,1735,865,3,Tower,HALL,Hallway Connector 8 2,Hallway H00803,A
DHALL05202,3555,730,2,15 Francis,HALL,Hallway 52 Floor 2,Hallway D5202,A
WHALL00602,2105,1280,2,45 Francis,HALL,Hallway Connector 6 Floor 2,Hallway W0602,A
EHALL02101,3230,880,1,45 Francis,HALL,Hallway Node 19 Floor 1,HallE19,A
GDEPT01901,1566,2139,1,Shapiro,DEPT,Zinner Breakout Room,Zinner Breakout Room,A
CHALL012L1,2130,904,L1,45 Francis,HALL,Hallway 12 Floor L1,Hallway C012L1,A
CREST001L1,1732,1019,L1,Tower,REST,Restroom 28,Restroom C001L1,A
FHALL02001,1700,1120,1,Tower,HALL,Tower Hallway 12,Hallway F02001,A
BHALL01102,2912,903,2,45 Francis,HALL,Hallway Intersection 11 Level 2,Hallway B1102,A
AHALL0010G,1677,2530,G,BTM,HALL,Hall 23,Hall,A
GHALL01602,1502,1820,2,Shapiro,HALL,Hall Node 16 Floor 2,Hall,A
GHALL002L1,1702,2167,L1,Shapiro,HALL,Hallway MapNode 2 Floor L1,Hall,A
GHALL01601,1689,2225,1,Shapiro,HALL,Hallway MapNode 16 Floor 1,Hall,A
BHALL03402,2166,1028,2,45 Francis,HALL,Hallway Intersection 34 Level 2,Hallway B3402,A
IHALL00703,2772,1227,3,45 Francis,HALL,Hallway Node 7,H7,A
CCONF003L1,2445,1245,L1,45 Francis,CONF,Abrams Conference Room,Conf C003L1,A
DHALL04102,3875,560,2,15 Francis,HALL,Hallway 41 Floor 2,Hallway D4102,A
FSERV00301,1700,1158,1,Tower,SERV,Kessler Library,Kessler Library,A
CREST001L2,2300,884,L2,45 Francis,REST,Restroom 32,Restroom C001L2,A
GDEPT00702,1341,1778,2,Shapiro,DEPT,Waiting room 2,Waiting Area Shapiro Floor 2,A
EHALL03301,2605,1380,1,45 Francis,HALL,Hallway Node 31 Floor 1,HallE31,A
EHALL01001,2585,890,1,45 Francis,HALL,Hallway Node 8 Floor 1,HallE08,A
WELEV00G02,2945,870,2,45 Francis,ELEV,Elevator G 2,Elevator G2,A
CHALL001L2,2360,854,L2,45 Francis,HALL,Hallway K Elevator Floor L2,Hallway C001L2,A
CHALL001L1,1732,924,L1,Tower,HALL,Hallway 1 Floor L1,Hallway C001L1,A
WELEV00G01,2935,900,1,45 Francis,ELEV,Elevator G 1,Elevator G1,A
IDEPT00203,2448,1328,3,45 Francis,DEPT,Gynecology Oncology MIGS,D2,A
FHALL03101,2026,976,1,Tower,HALL,Lobby Hallway 6,Hallway F02801,A
GHALL013L2,1512,1909,L2,Shapiro,HALL,Hallway MapNode 13 Floor L2,Hall,A
AHALL0120G,1548,2538,G,BTM,HALL,Hall 33,Hall,A
GHALL02702,1726,1930,2,Shapiro,HALL,Hall Node 27 Floor 2,Hall,A
GHALL00402,1230,1820,2,Shapiro,HALL,Hall Node 4 Floor 2,Hall,A
BHALL02302,2912,963,2,45 Francis,HALL,Hallway Intersection 23 Level 2,Hallway B2302,A
IHALL01903,2492,851,3,45 Francis,HALL,Hallway Node 19,H19,A
IREST00303,2745,1147,3,45 Francis,REST,Restroom 25,R3,A
DELEV00D02,3475,760,2,15 Francis,ELEV,Elevator D,Elevator D2,A
GSTAI008L1,1720,2131,L1,Shapiro,STAI,Stairs MapNode 8 Floor L1,L1 Stairs,A
XHALL16302,3772,2316,2,FLEX,HALL,FLEX Entry Hall 2,FLEX Entry Hall,A
CLABS001L2,2300,854,L2,45 Francis,LABS,Radiation Oncology TX Suite,Lab C001L2,A
WHALL00502,2085,1280,2,45 Francis,HALL,Hallway Connector 5 Floor 2,Hallway W0502,A
HHALL00902,1740,1280,2,Tower,HALL,Hallway Connector 9,Hallway H00902,A
CLABS001L1,1965,1284,L1,Tower,LABS,Outpatient Fluoroscopy,Lab C001L1,A
HHALL00903,1735,820,3,Tower,HALL,Hallway Connector 9 2,Hallway H00903,A
EDEPT00401,2790,1380,1,45 Francis,DEPT,Rehabilitation Services,Rehab 1,A
DEXIT00102,4295,750,2,15 Francis,EXIT,15 Lobby Entrance,15 Lobby Entrance,A
DHALL05102,3575,825,2,15 Francis,HALL,Hallway 51 Floor 2,Hallway D5102,A
HBATH00203,1750,985,3,Tower,REST,Restroom 22,Bathroom 0203,A
GHALL03802,1726,2210,2,Shapiro,HALL,Hall Node 38 Floor 2,Hall,A
EHALL02201,3270,875,1,45 Francis,HALL,Hallway Node 20 Floor 1,HallE20,A
DSTAI00102,4650,675,2,15 Francis,STAI,Staircase1 Floor2,Staircase1,A
CHALL013L1,2130,844,L1,45 Francis,HALL,Hallway 13 Floor L1,Hallway C013L1,A
BHALL01002,2713,902,2,45 Francis,HALL,Hallway Intersection 10 Level 2,Hallway B1002,A
BHALL03302,2782,1280,2,45 Francis,HALL,Hallway Intersection 33 Level 2,Hallway B3302,A
IHALL00603,2772,1290,3,45 Francis,HALL,Hallway Node 6,H6,A
ALABS00103,1611,2678,3,BTM,LABS,Innovation Hub,Innovation Hub,A
FHALL02101,1769,1146,1,Tower,HALL,Tower Hallway Entrance,Tower Entrance 2,A
GHALL001L2,1730,1584,L2,Shapiro,HALL,Hallway MapNode 1 Floor L2,Hall,A
AHALL0020G,1623,2531,G,BTM,HALL,Hall 24,Hall,A
GHALL01502,1502,1781,2,Shapiro,HALL,Hall Node 15 Floor 2,Hall,A
GHALL01501,1749,2224,1,Shapiro,HALL,Hallway MapNode 15 Floor 1,Hall,A
GEXIT00101,1751,1825,1,Shapiro,EXIT,Francis Street Exit,Francis Street Exit Floor 1,A
GSTAI00903,1685,2052,3,Shapiro,STAI,Staircase Node 9 Floor 3,Floor 3 Stairs,A
GELEV00N03,1628,1904,3,Shapiro,ELEV,Elevator N 3,Elevator N Floor 3,A
GELEV00N02,1630,1931,2,Shapiro,ELEV,Elevator N 2,Elevator N Floor 1,A
GELEV00N01,1647,1930,1,Shapiro,ELEV,Elevator N 1,Hall,A
BCONF00102,2150,1025,2,45 Francis,CONF,Duncan Reid Conference Room,Conf B0102,A
GREST01201,1671,2015,1,Shapiro,REST,Restroom 6,Restroom Shapiro Floor 1,A
DHALL04002,3910,685,2,15 Francis,HALL,Hallway 40 Floor 2,Hallway D4002,A
FSERV00201,1605,1029,1,Tower,SERV,Tower Medical Cashier,Tower Cashier,A
EHALL03401,2835,1460,1,45 Francis,HALL,Hallway Node 32 Floor 1,HallE32,A
GREST01203,1628,2052,3,Shapiro,REST,Restroom 20,Restroom Shapiro Floor 3,A
AHALL00103,1534,2732,3,BTM,HALL,Hall 18,Hall,A
AHALL00101,1638,2553,1,BTM,HALL,Hall 1,Hall,A
EHALL01101,2610,910,1,45 Francis,HALL,Hallway Node 9 Floor 1,HallE09,A
AHALL00102,1591,2560,2,BTM,HALL,Hall 12,Hall,A
WELEV00H01,2735,1070,1,45 Francis,ELEV,Elevator H 1,Elevator H1,A
WELEV00H02,2725,1065,2,45 Francis,ELEV,Elevator H 2,Elevator H2,A
CHALL002L1,2445,1043,L1,45 Francis,HALL,Hallway 2 Floor L1,Hallway C002L1,A
CHALL002L2,2270,904,L2,45 Francis,HALL,Hallway 2 Floor L2,Hallway C002L2,A
WELEV00H03,2715,1075,3,45 Francis,ELEV,Elevator H 3,Elevator H3,A
FHALL03201,1758,1029,1,Tower,HALL,Tower Hallway 13,Hallway F03201,A
BHALL02202,2900,985,2,45 Francis,HALL,Hallway Intersection 22 Level 2,Hallway B2202,A
GHALL012L2,1512,1966,L2,Shapiro,HALL,Hallway MapNode 12 Floor L2,Hall,A
GHALL00303,1580,2180,3,Shapiro,HALL,Hallway Node 3 Floor 3,Hall,A
AHALL0130G,1582,2533,G,BTM,HALL,Hall 34,Hall,A
GHALL00301,1705,1831,1,Shapiro,HALL,Hallway MapNode 3 Floor 1,Hall,A
IHALL01803,2362,851,3,45 Francis,HALL,Hallway Node 18,H18,A
GHALL00302,1231,1781,2,Shapiro,HALL,Hall Node 3 Floor 2,Hall,A
IDEPT00303,2730,1315,3,45 Francis,DEPT,General Surgical Specialties Suite A,D3,A
GCONF02001,1493,2117,1,Shapiro,CONF,Shapiro Board Room,Shapiro Board Room,A
XHALL16202,3830,2316,2,FLEX,HALL,FLEX Hall,FLEX Hall,A
IREST00403,2300,1018,3,45 Francis,REST,Restroom 26,R4,A
DHALL03102,4130,650,2,15 Francis,HALL,Hallway 31 Floor 2,Hallway D3102,A
DHALL05402,3490,845,2,15 Francis,HALL,Hallway 54 Floor 2,Hallway D5402,A
GHALL03301,1255,1872,1,Shapiro,HALL,Hallway MapNode 33 Floor 1,Hall,A
BDEPT00502,2623,1018,2,45 Francis,DEPT,Ear Nose & Throat,DEPT B0502,A
GHALL03302,1692,2124,2,Shapiro,HALL,Hall Node 33 Floor 2,Hall,A
BHALL00602,2605,902,2,45 Francis,HALL,Hallway Intersection 6 Level 2,Hallway B0602,A
CHALL007L2,1730,1009,L2,Tower,HALL,Hallway 7 Floor L2,Hallway C007L2,A
EHALL02301,3325,870,1,45 Francis,HALL,Hallway Node 21 Floor 1,HallE21,A
CHALL007L1,2130,1045,L1,Tower,HALL,Hallway 7 Floor L1,Hallway C007L1,A
ADEPT0020G,1552,2843,G,BTM,DEPT,Infusion Waiting Area ,Infusion Waiting Area,A
HHALL00202,1955,900,2,Tower,HALL,Hallway Connector 2,Hallway H00202,A
HHALL00203,1235,985,3,Tower,HALL,Hallway Connector 2 2,Hallway H00203,A
BSTAI00702,2811,1165,2,45 Francis,STAI,Staircase Intersection 7 Level 2,Stair B0702,A
IHALL02003,2597,851,3,45 Francis,HALL,Hallway Node 20,H20,A
ADEPT01306,1826,714,3,Main,DEPT,Reflection Room 3,Reflection Room 3,Team A
ACONF0010G,1671,2648,G,BTM,CONF,Schlagler Innovation Lobby,Schlagler Lobby,A
BHALL01702,2945,710,2,45 Francis,HALL,Hallway Intersection 17 Level 2,Hallway B1702,A
BREST00202,2605,841,2,45 Francis,REST,Restroom 9,REST B0202,A
DSTAI00602,3950,865,2,15 Francis,STAI,Staircase6 Floor2,Staircase6,A
GHALL01003,1580,2070,3,Shapiro,HALL,Hallway Node 10 Floor 3,Hall,A
GHALL01002,1340,1820,2,Shapiro,HALL,Hall Node 10 Floor 2,Hall,A
GHALL01001,1673,2165,1,Shapiro,HALL,Hallway MapNode 10 Floor 1,Hall,A
DHALL02002,4310,585,2,15 Francis,HALL,Hallway 20 Floor 2,Hallway D2002,A
DHALL04302,3865,750,2,15 Francis,HALL,Hallway 43 Floor 2,Hallway D4302,A
ADEPT00101,1401,2628,1,BTM,DEPT,Neuroscience Waiting Room,Neuro Waiting Room,A
ADEPT00102,1395,2674,2,BTM,DEPT,Orthopedics and Rhemutalogy,Orthopedics and Rhemutalogy,A
EHALL01201,2610,954,1,45 Francis,HALL,Hallway Node 10 Floor 1,HallE10,A
EHALL03501,2760,1460,1,45 Francis,HALL,Hallway Node 33 Floor 1,HallE33,A
DDEPT00402,3425,870,2,15 Francis,DEPT,Waiting Room,Waiting Room,A
HHALL01303,1600,1030,3,Tower,HALL,Hallway Connector 13,Hallway H01303,A
CREST003L1,2300,879,L1,45 Francis,REST,Restroom 30,Restroom C003L1,A
EINFO00101,2460,850,1,45 Francis,INFO,Connors Center Security Desk,Security 1,A
HLABS00103,1235,865,3,Tower,LABS,Reproductive Endocrine Labs,Reproductive Endocrine Labs,A
GHALL02102,1683,1821,2,Shapiro,HALL,Hall Node 21 Floor 2,Hall,A
BHALL02902,2782,1091,2,45 Francis,HALL,Hallway Intersection 29 Level 2,Hallway B2902,A
GHALL02101,1600,1830,1,Shapiro,HALL,Hallway MapNode 21 Floor 1,Hall,A
DELEV00B02,4155,650,2,15 Francis,ELEV,Elevator B,Elevator B2,A
GHALL03202,1684,2091,2,Shapiro,HALL,Hall Node 32 Floor 2,Hall,A
DHALL03002,4140,680,2,15 Francis,HALL,Hallway 30 Floor 2,Hallway D3002,A
AHALL05306,1490,1953,3,15 Francis,HALL,Hall to Reflection 2,Hall to Reflection 2,Team A
BDEPT00602,2782,1303,2,45 Francis,HALL,Hallway Intersection 31,Hallway B3102,A
BHALL00502,2385,902,2,45 Francis,HALL,Hallway Intersection 5 Level 2,Hallway B0502,A
GELEV00QL1,1637,2116,L1,Shapiro,ELEV,Elevator Q 4,Elevator Q L1,A
DHALL05302,3525,840,2,15 Francis,HALL,Hallway 53 Floor 2,Hallway D5302,A
CHALL008L1,2215,1045,L1,45 Francis,HALL,Hallway 8 Floor L1,Hallway C008L1,A
EHALL02401,2770,1010,1,45 Francis,HALL,Hallway Node 22 Floor 1,HallE22,A
ADEPT0010G,1530,2495,G,BTM,DEPT,Neuro Testing Waiting Area ,Neuro Wating Area,A
GELEV00QL2,1625,2089,L2,Shapiro,ELEV,Elevator Q 5,Elevator Q L2,A
CHALL008L2,1730,924,L2,Tower,HALL,Hallway 8 Floor L2,Hallway C008L2,A
HHALL00302,2035,900,2,Tower,HALL,Hallway Connector 3,Hallway H00302,A
BSTAI00802,2554,1316,2,45 Francis,STAI,Staircase Intersection 8 Level 2,Stair B0802,A
HHALL00303,1325,985,3,Tower,HALL,Hallway Connector 3 2,Hallway H00303,A
GRETL03501,1284,1884,1,Shapiro,REST,Restroom 7,Secret Room Floor 1,A
WELEV00HL1,2715,1070,L1,45 Francis,ELEV,Elevator H 4,Elevator HL1,A
DSTAI00702,3855,565,2,15 Francis,STAI,Staircase7 Floor2,Staircase7,A
BHALL01602,2721,750,2,45 Francis,HALL,Hallway Intersection 16 Level 2,Hallway B1602,A
BREST00302,2225,1280,2,45 Francis,REST,Restroom 10,REST B0302,A
XELEV  803,3742,2260,3,FLEX,ELEV,Elevator T 2,Flex Elevator,A
GEXIT001L1,1702,2260,L1,Shapiro,EXIT,Fenwood Road Exit,Fenwood Road EntranceExit L1,A
EREST00301,2790,1190,1,45 Francis,REST,Restroom 4,Restroom H1,A
DHALL04202,3870,540,2,15 Francis,HALL,Hallway 42 Floor 2,Hallway D4202,A
EHALL01301,2660,954,1,45 Francis,HALL,Hallway Node 11 Floor 1,HallE11,A
FHALL03001,1645,1246,1,Tower,HALL,Lobby Hallway 5,Hallway F02701,A
EHALL03601,2760,1405,1,45 Francis,HALL,Hallway Node 34 Floor 1,HallE34,A
CREST002L1,2065,1284,L1,Tower,REST,Restroom 29,Restroom C002L1,A
CREST002L2,1930,1280,L2,45 Francis,REST,Restroom 33,Restroom C002L2,A
HHALL01403,1735,1030,3,Tower,HALL,Hallway Connector 14,Hallway H01403,A
ACONF00103,1648,2968,3,BTM,CONF,BTM Conference Center,BTM Conference,A
ACONF00102,1580,2538,2,BTM,HALL,Hall 11,Hall,A
WELEV00J03,2365,800,3,45 Francis,ELEV,Elevator J 3,Elevator J3,A
WELEV00J01,2385,810,1,45 Francis,ELEV,Elevator J 1,Elevator J1,A
WELEV00J02,2385,800,2,45 Francis,ELEV,Elevator J 2,Elevator J2,A
BHALL02802,3063,1043,2,45 Francis,HALL,Hallway Intersection 28 Level 2,Hallway B2802,A
DELEV00C02,3955,885,2,15 Francis,ELEV,Elevator C,Elevator C2,A
GHALL02002,1684,1801,2,Shapiro,HALL,Hall Node 20 Floor 2,Hall,A
BDEPT00702,2945,775,2,45 Francis,DEPT,Plastic Surgery,DEPT B0702,A
DHALL05602,3440,800,2,15 Francis,HALL,Hallway 56 Floor 2,Hallway D5602,A
BHALL00402,2246,1280,2,45 Francis,HALL,Hallway Intersection 4 Level 2,Hallway B0402,A
DHALL01002,4625,650,2,15 Francis,HALL,Hallway 10 Floor 2,Hallway D1002,A
DHALL03302,4000,645,2,15 Francis,HALL,Hallway 33 Floor 2,Hallway D3302,A
EHALL02501,2925,980,1,45 Francis,HALL,Hallway Node 23 Floor 1,HallE23,A
WELEV00L03,1790,925,3,Tower,ELEV,Elevator L 3,Elevator L3,A
HHALL00402,1875,1025,2,Tower,HALL,Hallway Connector 4,Hallway H00402,A
HHALL00403,1325,1290,3,Tower,HALL,Hallway Connector 4 2,Hallway H00403,A
BINFO00102,2962,963,2,45 Francis,INFO,Information Desk 1,INFO B0102,A
BSERV00102,2853,1067,2,45 Francis,SERV,Patient Financial Services,SERV B0102,A
BSTAI00902,2190,1280,2,45 Francis,STAI,Staircase Intersection 9 Level 2,Stair B0902,A
HSERV00103,1750,865,3,Tower,SERV,Nursing Room,Nursing Room,A
ADEPT01504,3269,773,1,Main,DEPT,Reflection Room 1,Reflection Room 1,Team A
BHALL01502,2672,820,2,45 Francis,HALL,Hallway Intersection 15 Level 2,Hallway B1502,A
GHALL01202,1395,1820,2,Shapiro,HALL,Hall Node 12 Floor 2,Hall,A
BHALL03802,2279,786,2,45 Francis,HALL,Hallway Intersection 38 Level 2,Hallway B3802,A
CLABS004L1,2320,1284,L1,45 Francis,LABS,Ultrasound Lab,Lab C004L1,A
FHALL00901,1627,850,1,Tower,HALL,Tower Hallway 2,Hallway F00901,A
DSTAI00402,4175,620,2,15 Francis,STAI,Staircase4 Floor2,Staircase4,A
DHALL04502,3775,745,2,15 Francis,HALL,Hallway 45 Floor 2,Hallway D4502,A
EREST00201,2985,980,1,45 Francis,REST,Restroom 3,Restroom F1,A
ADEPT00301,986,2852,1,BTM,DEPT,CART Waiting,CART Waiting,A
DHALL02202,4280,475,2,15 Francis,HALL,Hallway 22 Floor 2,Hallway D2202,A
FEXIT00101,2017,799,1,Tower,EXIT,Shattuck Street Lobby Exit,Shattuck St. Exit,A
EHALL01401,2660,979,1,45 Francis,HALL,Hallway Node 12 Floor 1,HallE12,A
DDEPT00202,4240,730,2,15 Francis,DEPT,Thoracic Surgery Clinic,Thoracic Surgery Clinic,A
HHALL01503,1735,985,3,Tower,HALL,Hallway Connector 15,Hallway H01503,A
WELEV00K02,2240,965,2,45 Francis,ELEV,Elevator K 2,Elevator K2,A
WELEV00K03,2220,985,3,45 Francis,ELEV,Elevator K 3,Elevator K3,A
CHALL005L2,1745,1280,L2,Tower,HALL,Hallway 5 Floor L2,Hallway C005L2,A
CHALL005L1,1750,1284,L1,Tower,HALL,Hallway 5 Floor L1,Hallway C005L1,A
WELEV00K01,2240,985,1,45 Francis,ELEV,Elevator K 1,Elevator K1,A
DCONF00102,4595,550,2,15 Francis,CONF,Carrie M. Hall Conference Center,Conference Center,A
GHALL02302,1726,1835,2,Shapiro,HALL,Hall Node 23 Floor 2,Hall,A
BHALL02702,3296,1043,2,45 Francis,HALL,Hallway Intersection 27 Level 2,Hallway B2702,A
BDEPT00802,3155,890,2,45 Francis,DEPT,Outpatient Pharmacy,DEPT B0802,A
DHALL05502,3450,850,2,15 Francis,HALL,Hallway 55 Floor 2,Hallway D5502,A
GHALL03401,1284,1872,1,Shapiro,HALL,Hallway MapNode 34 Floor 1,Hall,A
GHALL03402,1724,2123,2,Shapiro,HALL,Hall Node 34 Floor 2,Hall,A
BHALL00302,2238,1028,2,45 Francis,HALL,Hallway Intersection 3 Level 2,Hallway B0302,A
DHALL03202,4020,715,2,15 Francis,HALL,Hallway 32 Floor 2,Hallway D3202,A
CHALL006L2,1745,1009,L2,Tower,HALL,Hallway 6 Floor L2,Hallway C006L2,A
BLABS00202,2945,995,2,45 Francis,LABS,Outpatient Specimen Collection,Labs B0202,A
EHALL00301,2240,910,1,45 Francis,HALL,Hallway Node 1 Floor 1,Hall 01,A
WELEV00M02,1825,1280,2,Tower,ELEV,Elevator M 2,Elevator M2,A
EHALL02601,3085,980,1,45 Francis,HALL,Hallway Node 24 Floor 1,HallE24,A
WELEV00M03,1815,1290,3,Tower,ELEV,Elevator M 3,Elevator M3,A
WHALL00902,1690,2240,2,Shapiro,HALL,Hallway Connector 9 Floor 2,Hallway W0902,A
HHALL00502,1825,1025,2,Tower,HALL,Hallway Connector 5,Hallway H00502,A
HHALL00503,1680,1290,3,Tower,HALL,Hallway Connector 5 2,Hallway H00502,A
GSTAI00501,1707,1992,1,Shapiro,STAI,Stairway MapNode 5 Floor 1,Northbound Stairs Floor 2,A
BHALL01402,3296,880,2,45 Francis,HALL,Hallway Intersection 14 Level 2,Hallway B1402,A
BHALL03702,2322,641,2,45 Francis,HALL,Hallway Intersection 37 Level 2,Hallway B3702,A
ADEPT01406,1470,2032,3,15 Francis,DEPT,Reflection Room 2,Reflection Room 2,Team A
GSTAI02802,1685,2041,2,Shapiro,STAI,Stairs Node 28 Floor 2,Floor 2 Stairs Lower,A
DSTAI00502,4065,630,2,15 Francis,STAI,Staircase5 Floor2,Staircase5,A
GHALL01103,1628,2070,3,Shapiro,HALL,Hallway Node 11 Floor 3,Hall,A
GHALL01102,1396,1781,2,Shapiro,HALL,Hall Node 11 Floor 2,Hall,A
BREST00102,2177,1010,2,45 Francis,REST,Restroom 8,REST B0102,A
CLABS005L1,2770,1284,L1,45 Francis,LABS,CSIR MRI Lab,Lab C005L1,A
AEXIT001L2,1696,2788,L2,BTM,EXIT,Parking Garage,Parking Garage L2,A
DHALL04402,3860,725,2,15 Francis,HALL,Hallway 44 Floor 2,Hallway D4402,A
ADEPT00201,1720,2847,1,BTM,DEPT,MS Waiting,MS Waiting,A
EREST00101,2950,730,1,45 Francis,REST,Restroom 2,Restroom G1,A
GREST03102,1628,2092,2,Shapiro,REST,Restroom 18,Handicap Accessible Restrooms Shapiro Floor 2,A
DHALL02102,4295,530,2,15 Francis,HALL,Hallway 21 Floor 2,Hallway D2102,A
DDEPT00302,3900,640,2,15 Francis,DEPT,Brigham Health,Brigham Health,A
WELEV00JL1,2360,799,L1,45 Francis,ELEV,Elevator J 4,Elevator JL1,A
GDEPT00403,1580,2142,3,Shapiro,DEPT,Brigham Circle Medical Associates,Brigham Circle Medical Associates,A
WELEV00JL2,2360,804,L2,45 Francis,ELEV,Elevator J 5,Elevator JL2,A
EHALL01501,2675,910,1,45 Francis,HALL,Hallway Node 13 Floor 1,HallE13,A
CREST004L1,2770,1160,L1,45 Francis,REST,Restroom 31,Restroom C004L1,A
DELEV00A02,4550,375,2,15 Francis,ELEV,Elevator A,Elevator A2,A
WELEV00L01,1810,930,1,Tower,ELEV,Elevator L 1,Elevator L1,A
